task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	24/1d89d2	31584	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_FASTA (genome.fasta.gz)	COMPLETED	0	2026-08-15 17:30:27.536	9.5s	402ms	107.3%	6.7 MB	294.6 MB	3.7 MB	11.8 MB
2	0e/3ecc6a	31635	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_GTF (genes.gtf.gz)	COMPLETED	0	2026-08-15 17:30:37.034	1.4s	308ms	110.5%	6.7 MB	294.6 MB	700.3 KB	10 MB
4	42/5e62f4	31660	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:CAT_FASTQ (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-08-15 17:30:38.464	2.8s	1.4s	66.3%	11.7 MB	585.8 MB	600.8 MB	600.7 MB
5	ac/e98796	31697	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (WT_REP2)	COMPLETED	0	2026-08-15 17:30:41.325	10.4s	9s	100.9%	36.2 MB	611.3 MB	535.9 MB	1.7 KB
3	fc/67282a	31766	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:CAT_FASTQ (WT_REP1)	COMPLETED	0	2026-08-15 17:30:51.757	3.8s	1.7s	72.3%	11.7 MB	585.8 MB	722.9 MB	722.8 MB
6	b7/94ba30	31826	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-08-15 17:30:55.559	10.6s	9s	100.5%	36.3 MB	611.3 MB	539.6 MB	1.7 KB
7	e8/f51fe1	31861	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-08-15 17:31:06.217	11.1s	9s	100.1%	36.2 MB	611.3 MB	541.3 MB	1.7 KB
8	fb/3aa5a5	31924	NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta)	COMPLETED	0	2026-08-15 17:31:17.335	2.1s	414ms	111.2%	6.6 MB	294.6 MB	11.9 MB	3.2 KB
9	6e/25e29a	31958	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GTFFILTER (genes.filtered)	COMPLETED	0	2026-08-15 17:31:19.493	9.4s	1s	31.7%	23.5 MB	304.3 MB	22.9 MB	9.2 MB
10	f3/775065	32008	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-08-15 17:31:28.946	19.8s	18s	99.4%	36.3 MB	611.3 MB	901.5 MB	1.7 KB
